Temp Definition °C,Dew Point Definition °C,Rel Hum Definition %,Precip. Amount Definition mm,Wind Dir Definition 10's deg,Wind Spd Definition km/h,Visibility Definition km,Stn Press Definition kPa,Hmdx Definition,Wind Chill Definition,Weather Definition,datetime
1.4,0.7,95,0.0,LegendMM,4,16.1,100.29,,,Rain,2021-01-03 13:00:00
1.4,0.8,96,0.2,28,9,14.5,100.3,,,LegendNANA,2021-01-03 14:00:00
1.9,0.7,92,0.0,30,11,16.1,100.35,,,Rain,2021-01-03 15:00:00
2.2,0.6,89,0.0,31,11,16.1,100.39,,,LegendNANA,2021-01-03 16:00:00
1.5,-0.4,87,0.0,30,15,16.1,100.46,,,LegendNANA,2021-01-03 17:00:00
1.3,-0.6,87,0.0,32,13,16.1,100.51,,,LegendNANA,2021-01-03 18:00:00
1.4,-0.5,87,0.0,36,13,16.1,100.51,,,LegendNANA,2021-01-03 19:00:00
1.3,-0.5,88,0.0,29,9,16.1,100.6,,,LegendNANA,2021-01-03 20:00:00
1.1,-0.6,89,0.0,28,8,16.1,100.63,,,LegendNANA,2021-01-03 21:00:00
0.8,-0.4,92,0.0,26,9,16.1,100.64,,,LegendNANA,2021-01-03 22:00:00
1.0,-0.6,89,0.0,31,9,16.1,100.63,,,LegendNANA,2021-01-03 23:00:00
0.9,-0.9,88,0.0,32,9,16.1,100.65,,,LegendNANA,2021-01-04 00:00:00
0.6,-1.8,84,0.0,33,11,16.1,100.62,,,LegendNANA,2021-01-04 01:00:00
0.6,-1.8,84,0.0,30,9,16.1,100.68,,,LegendNANA,2021-01-04 02:00:00
0.8,-2.1,81,0.0,1,5,16.1,100.71,,,LegendNANA,2021-01-04 03:00:00
0.6,-2.1,82,0.0,1,8,16.1,100.73,,,LegendNANA,2021-01-04 04:00:00
0.5,-1.6,86,0.0,33,8,16.1,100.75,,,LegendNANA,2021-01-04 05:00:00
0.5,-1.9,84,0.0,33,5,16.1,100.78,,,LegendNANA,2021-01-04 06:00:00
0.6,-1.5,86,0.0,32,11,16.1,100.83,,,LegendNANA,2021-01-04 07:00:00
0.6,-1.5,86,0.0,29,8,16.1,100.88,,,LegendNANA,2021-01-04 08:00:00
0.4,-1.5,87,0.0,32,11,11.3,100.92,,,LegendNANA,2021-01-04 09:00:00
0.1,-1.8,87,0.0,30,11,12.9,100.93,,,LegendNANA,2021-01-04 10:00:00
0.5,-2.2,82,0.0,LegendMM,4,16.1,100.88,,,LegendNANA,2021-01-04 11:00:00
0.6,-1.8,84,0.0,LegendMM,4,16.1,100.77,,,LegendNANA,2021-01-04 12:00:00
0.7,-1.4,86,0.0,22,5,16.1,100.69,,,LegendNANA,2021-01-04 13:00:00
1.0,-1.1,86,0.0,,0,16.1,100.64,,,LegendNANA,2021-01-04 14:00:00
1.2,-0.9,86,0.0,19,8,16.1,100.64,,,LegendNANA,2021-01-04 15:00:00
1.2,-1.0,85,0.0,17,5,16.1,100.67,,,LegendNANA,2021-01-04 16:00:00
1.1,-0.8,87,0.0,8,5,12.9,100.68,,,LegendNANA,2021-01-04 17:00:00
1.1,-0.7,88,0.0,9,8,12.9,100.68,,,LegendNANA,2021-01-04 18:00:00
1.2,-0.7,87,0.0,8,8,12.9,100.69,,,LegendNANA,2021-01-04 19:00:00
1.2,-0.6,88,0.0,8,8,12.9,100.64,,,LegendNANA,2021-01-04 20:00:00
1.2,-0.4,89,0.0,6,13,16.1,100.59,,,LegendNANA,2021-01-04 21:00:00
1.1,-0.7,88,0.0,7,11,16.1,100.58,,,LegendNANA,2021-01-04 22:00:00
1.0,-0.6,89,0.0,6,13,16.1,100.54,,,LegendNANA,2021-01-04 23:00:00
1.2,-0.6,88,0.0,8,11,16.1,100.49,,,LegendNANA,2021-01-05 00:00:00
1.2,-0.6,88,0.0,7,15,16.1,100.5,,,LegendNANA,2021-01-05 01:00:00
1.3,-0.3,89,0.0,7,13,16.1,100.52,,,LegendNANA,2021-01-05 02:00:00
1.3,-0.1,90,0.0,6,17,16.1,100.5,,,LegendNANA,2021-01-05 03:00:00
1.4,-0.1,90,0.0,6,17,16.1,100.46,,,LegendNANA,2021-01-05 04:00:00
1.4,0.2,92,0.0,6,18,16.1,100.48,,,LegendNANA,2021-01-05 05:00:00
1.0,0.1,94,0.0,7,13,11.3,100.51,,,LegendNANA,2021-01-05 06:00:00
0.4,0.0,97,0.8,7,9,1.6,100.54,,,Snow,2021-01-05 07:00:00
0.5,-0.2,95,0.0,7,15,11.3,100.58,,,LegendNANA,2021-01-05 08:00:00
0.8,-0.2,93,0.0,7,15,11.3,100.62,,,LegendNANA,2021-01-05 09:00:00
0.8,-0.2,93,0.0,6,15,9.7,100.65,,,"Rain, Fog",2021-01-05 10:00:00
1.0,-0.2,92,0.0,6,18,11.3,100.63,,,LegendNANA,2021-01-05 11:00:00
1.2,0.0,92,0.0,7,18,12.9,100.58,,,Rain,2021-01-05 12:00:00
1.1,-0.4,90,0.0,7,18,16.1,100.55,,,LegendNANA,2021-01-05 13:00:00
1.1,-0.8,87,0.0,7,17,16.1,100.61,,,LegendNANA,2021-01-05 14:00:00
1.0,-0.8,88,0.0,8,13,14.5,100.68,,,Rain,2021-01-05 15:00:00
0.9,-1.2,86,0.0,9,11,14.5,100.77,,,LegendNANA,2021-01-05 16:00:00
1.0,-0.9,87,0.0,9,9,12.9,100.84,,,LegendNANA,2021-01-05 17:00:00
1.0,-0.8,88,0.0,8,9,12.9,100.89,,,LegendNANA,2021-01-05 18:00:00
1.4,-1.6,81,0.0,2,9,16.1,100.94,,,LegendNANA,2021-01-05 19:00:00
1.3,-2.2,78,0.0,32,13,16.1,100.98,,,LegendNANA,2021-01-05 20:00:00
1.4,-2.4,76,0.0,33,9,16.1,101.02,,,LegendNANA,2021-01-05 21:00:00
1.6,-2.4,75,0.0,31,8,16.1,101.05,,,LegendNANA,2021-01-05 22:00:00
1.6,-2.5,74,0.0,33,8,16.1,101.06,,,LegendNANA,2021-01-05 23:00:00
1.2,-2.2,78,0.0,31,11,16.1,101.07,,,LegendNANA,2021-01-06 00:00:00
1.2,-2.8,75,0.0,33,13,16.1,101.12,,,LegendNANA,2021-01-06 01:00:00
0.9,-2.5,78,0.0,31,15,16.1,101.17,,,LegendNANA,2021-01-06 02:00:00
0.9,-2.7,77,0.0,32,13,16.1,101.22,,,LegendNANA,2021-01-06 03:00:00
0.9,-3.0,75,0.0,32,13,16.1,101.24,,,LegendNANA,2021-01-06 04:00:00
0.9,-3.6,72,0.0,31,17,16.1,101.25,,,LegendNANA,2021-01-06 05:00:00
0.0,-3.4,78,0.0,32,13,16.1,101.27,,-4.0,LegendNANA,2021-01-06 06:00:00
0.0,-4.5,72,0.0,32,13,16.1,101.34,,-4.0,LegendNANA,2021-01-06 07:00:00
-0.1,-3.7,77,0.0,36,18,16.1,101.39,,-5.0,LegendNANA,2021-01-06 08:00:00
0.4,-4.2,71,0.0,1,13,16.1,101.48,,,LegendNANA,2021-01-06 09:00:00
0.7,-4.2,70,0.0,28,9,16.1,101.48,,,LegendNANA,2021-01-06 10:00:00
1.0,-3.5,72,0.0,31,17,16.1,101.47,,,LegendNANA,2021-01-06 11:00:00
1.8,-3.2,70,0.0,35,9,16.1,101.37,,,LegendNANA,2021-01-06 12:00:00
1.9,-3.3,69,0.0,34,8,16.1,101.35,,,LegendNANA,2021-01-06 13:00:00
1.9,-3.8,66,0.0,34,17,16.1,101.38,,,LegendNANA,2021-01-06 14:00:00
2.2,-3.5,66,0.0,36,17,16.1,101.41,,,LegendNANA,2021-01-06 15:00:00
2.0,-3.5,67,0.0,33,18,16.1,101.49,,,LegendNANA,2021-01-06 16:00:00
2.0,-3.5,67,0.0,34,15,16.1,101.52,,,LegendNANA,2021-01-06 17:00:00
2.0,-3.7,66,0.0,33,11,16.1,101.55,,,LegendNANA,2021-01-06 18:00:00
2.0,-3.7,66,0.0,33,15,16.1,101.6,,,LegendNANA,2021-01-06 19:00:00
1.9,-3.5,68,0.0,32,11,16.1,101.63,,,LegendNANA,2021-01-06 20:00:00
1.8,-3.7,67,0.0,34,8,16.1,101.64,,,LegendNANA,2021-01-06 21:00:00
1.5,-4.2,66,0.0,2,11,16.1,101.63,,,LegendNANA,2021-01-06 22:00:00
1.5,-4.4,65,0.0,31,13,16.1,101.62,,,LegendNANA,2021-01-06 23:00:00
1.3,-4.2,67,0.0,31,17,16.1,101.61,,,LegendNANA,2021-01-07 00:00:00
1.0,-4.5,67,0.0,32,13,16.1,101.61,,,LegendNANA,2021-01-07 01:00:00
0.5,-4.5,69,0.0,32,15,16.1,101.64,,,LegendNANA,2021-01-07 02:00:00
0.2,-4.6,70,0.0,32,15,16.1,101.7,,,LegendNANA,2021-01-07 03:00:00
-0.2,-4.7,72,0.0,32,8,16.1,101.7,,-3.0,LegendNANA,2021-01-07 04:00:00
-0.8,-5.2,72,0.0,33,13,16.1,101.73,,-5.0,LegendNANA,2021-01-07 05:00:00
-1.1,-5.5,72,0.0,30,17,16.1,101.77,,-6.0,LegendNANA,2021-01-07 06:00:00
-1.4,-5.6,73,0.0,34,15,16.1,101.78,,-6.0,LegendNANA,2021-01-07 07:00:00
-1.7,-5.9,73,0.0,1,17,16.1,101.82,,-7.0,LegendNANA,2021-01-07 08:00:00
-1.4,-5.7,73,0.0,4,13,16.1,101.86,,-6.0,LegendNANA,2021-01-07 09:00:00
-1.4,-5.3,75,0.0,30,15,16.1,101.86,,-6.0,LegendNANA,2021-01-07 10:00:00
-1.6,-6.0,72,0.0,31,17,16.1,101.82,,-7.0,LegendNANA,2021-01-07 11:00:00
-1.4,-6.3,69,0.0,32,11,16.1,101.75,,-5.0,LegendNANA,2021-01-07 12:00:00
-0.5,-6.4,65,0.0,33,8,16.1,101.68,,-3.0,LegendNANA,2021-01-07 13:00:00
0.5,-7.1,57,0.0,29,8,16.1,101.65,,,LegendNANA,2021-01-07 14:00:00
0.8,-7.0,56,0.0,31,13,16.1,101.64,,,LegendNANA,2021-01-07 15:00:00
0.3,-7.2,57,0.0,30,17,16.1,101.68,,,LegendNANA,2021-01-07 16:00:00
-0.6,-8.1,57,0.0,32,17,16.1,101.69,,-6.0,LegendNANA,2021-01-07 17:00:00
-1.0,-8.3,58,0.0,35,17,16.1,101.7,,-6.0,LegendNANA,2021-01-07 18:00:00
-1.4,-7.4,64,0.0,33,15,16.1,101.71,,-6.0,LegendNANA,2021-01-07 19:00:00
-2.1,-7.2,68,0.0,33,9,16.1,101.7,,-6.0,LegendNANA,2021-01-07 20:00:00
-2.4,-7.9,66,0.0,31,9,16.1,101.72,,-6.0,LegendNANA,2021-01-07 21:00:00
-2.4,-8.5,63,0.0,35,15,16.1,101.65,,-7.0,LegendNANA,2021-01-07 22:00:00
-3.0,-8.7,65,0.0,1,13,16.1,101.61,,-8.0,LegendNANA,2021-01-07 23:00:00
-3.6,-8.7,68,0.0,1,15,16.1,101.55,,-9.0,LegendNANA,2021-01-08 00:00:00
-4.1,-8.5,71,0.0,3,15,16.1,101.54,,-9.0,LegendNANA,2021-01-08 01:00:00
-4.7,-9.2,71,0.0,34,9,16.1,101.53,,-9.0,LegendNANA,2021-01-08 02:00:00
-5.6,-9.8,72,0.0,31,11,16.1,101.53,,-10.0,LegendNANA,2021-01-08 03:00:00
-6.3,-9.9,76,0.0,32,13,16.1,101.53,,-12.0,LegendNANA,2021-01-08 04:00:00
-7.2,-10.1,80,0.0,32,13,16.1,101.5,,-13.0,LegendNANA,2021-01-08 05:00:00
-7.4,-10.1,81,0.0,32,9,16.1,101.48,,-12.0,LegendNANA,2021-01-08 06:00:00
-7.1,-9.8,81,0.0,34,13,16.1,101.46,,-13.0,LegendNANA,2021-01-08 07:00:00
-7.3,-9.6,84,0.0,32,13,16.1,101.49,,-13.0,LegendNANA,2021-01-08 08:00:00
-7.3,-9.4,85,0.0,1,11,16.1,101.49,,-12.0,LegendNANA,2021-01-08 09:00:00
-7.3,-9.9,82,0.0,32,13,16.1,101.47,,-13.0,LegendNANA,2021-01-08 10:00:00
-5.9,-10.0,73,0.0,LegendMM,4,16.1,101.42,,-8.0,LegendNANA,2021-01-08 11:00:00
-4.9,-9.9,68,0.0,10,8,16.1,101.33,,-8.0,LegendNANA,2021-01-08 12:00:00
-4.5,-9.0,71,0.0,12,8,16.1,101.26,,-8.0,LegendNANA,2021-01-08 13:00:00
-4.4,-8.5,73,0.0,18,8,16.1,101.21,,-8.0,LegendNANA,2021-01-08 14:00:00
-4.0,-8.0,74,0.0,19,8,16.1,101.17,,-7.0,LegendNANA,2021-01-08 15:00:00
-3.6,-7.7,73,0.0,LegendMM,4,16.1,101.19,,-5.0,LegendNANA,2021-01-08 16:00:00
-4.2,-7.3,79,0.0,,0,16.1,101.22,,,LegendNANA,2021-01-08 17:00:00
-4.9,-7.7,81,0.0,20,4,16.1,101.22,,-7.0,LegendNANA,2021-01-08 18:00:00
-3.4,-10.0,61,0.0,LegendMM,9,16.1,101.22,,-7.0,LegendNANA,2021-01-08 19:00:00
-3.6,-11.6,54,0.0,31,9,16.1,101.21,,-7.0,LegendNANA,2021-01-08 20:00:00
-2.6,-11.1,52,0.0,34,13,16.1,101.19,,-7.0,LegendNANA,2021-01-08 21:00:00
-1.9,-10.3,53,0.0,32,15,16.1,101.19,,-7.0,LegendNANA,2021-01-08 22:00:00
-2.0,-9.7,56,0.0,34,11,16.1,101.17,,-6.0,LegendNANA,2021-01-08 23:00:00
-1.5,-9.9,53,0.0,35,21,16.1,101.12,,-7.0,LegendNANA,2021-01-09 00:00:00
-1.3,-11.6,46,0.0,34,13,16.1,101.1,,-6.0,LegendNANA,2021-01-09 01:00:00
-1.5,-10.8,49,0.0,34,13,16.1,101.11,,-6.0,LegendNANA,2021-01-09 02:00:00
-1.9,-9.9,54,0.0,32,15,16.1,101.11,,-7.0,LegendNANA,2021-01-09 03:00:00
-1.8,-12.2,45,0.0,33,21,16.1,101.1,,-8.0,LegendNANA,2021-01-09 04:00:00
-1.8,-13.1,42,0.0,33,18,16.1,101.12,,-7.0,LegendNANA,2021-01-09 05:00:00
-1.4,-12.2,44,0.0,33,17,16.1,101.13,,-7.0,LegendNANA,2021-01-09 06:00:00
